has_left,business_travel,department,education,education_field,employee_id,job_level,job_role,monthly_income,percent_salary_hike,total_working_years,training_times_last_year,years_at_company,years_since_last_promotion,years_with_curr_manager,environment_satisfaction,job_satisfaction,work_life_balance,job_involvement,performance_rating,avg_hours_per_day,std_hours_daily,std_hours_monthly,total_days_worked,overtime_ratio
0,2,R&D,3,LifeSci,56,4,ResearchDir,193920,12,12,3,10,8,8,4,2,3,3,3,6.784845288326301,0.2950064383650507,0.0752882173545793,237,0.0
0,1,Sales,4,LifeSci,57,1,SalesExec,196650,22,21,6,21,11,10,3,1,3,3,4,10.986099773242628,0.3159426398769554,0.073975047170847,245,1.0
0,2,R&D,4,Medical,58,4,Scientist,24390,15,9,2,8,1,7,3,4,3,3,3,7.68658467939305,0.3027352732521384,0.0419822228473164,227,0.171806167400881
0,1,R&D,3,LifeSci,59,3,MfgDir,73140,22,25,2,7,0,7,3,3,3,3,4,9.948856881572931,0.3131942908594046,0.0608852915924718,243,1.0
1,1,R&D,1,LifeSci,60,2,Scientist,47740,18,11,2,8,7,7,3,2,2,3,3,7.9055276615527665,0.312018951040719,0.0393466957745469,239,0.3891213389121339
0,1,R&D,4,Medical,61,3,Scientist,39020,22,4,2,4,1,2,3,2,2,3,4,10.672414617486336,0.3016282855220779,0.0378762870698818,244,1.0
0,1,R&D,3,LifeSci,62,3,Scientist,26620,11,13,6,13,11,9,3,2,3,4,3,10.496171548117156,0.2915206454350033,0.0648430559581132,239,1.0
0,1,R&D,2,Medical,63,4,ResearchDir,28560,12,5,5,5,0,4,4,3,3,4,3,10.069261664261663,0.3127089725242034,0.0505174328061463,231,1.0
0,1,Sales,3,LifeSci,64,2,HealthRep,10810,11,13,4,7,1,7,4,4,3,4,3,6.607014174668495,0.2947691705712396,0.0671332889624228,243,0.0
0,1,R&D,3,Tech,65,2,HealthRep,24720,13,10,2,7,0,7,1,4,2,3,3,7.497914908579466,0.2832914658104325,0.0622118628157167,237,0.050632911392405
1,1,R&D,4,Medical,66,1,SalesExec,56730,14,5,4,3,2,2,1,4,2,2,3,10.727235717498877,0.2729194524850313,0.0719294082512115,247,1.0
0,1,R&D,3,LifeSci,67,4,ResearchDir,41970,13,11,3,10,1,9,4,4,3,3,3,6.184816810344828,0.3013547077098444,0.0804382520531965,232,0.0
0,2,R&D,1,LifeSci,68,1,Manager,97130,17,10,5,10,8,9,3,3,3,2,3,6.609300048947627,0.2789062847518742,0.0802616360160836,227,0.0
0,2,R&D,4,Medical,69,1,Scientist,20620,13,21,4,21,13,3,3,4,3,3,3,6.07624634502924,0.2804976538442189,0.0444602928306629,228,0.0
1,1,R&D,1,Medical,70,1,LabTech,42840,17,12,0,1,0,0,4,3,2,3,3,9.971745709123756,0.2854873603251526,0.0440085975238132,246,1.0
0,2,Sales,2,LifeSci,71,4,Scientist,47880,11,9,0,7,0,1,2,4,2,3,3,7.42145202020202,0.2917561304865799,0.0515209304953986,242,0.0206611570247933
0,1,R&D,3,LifeSci,72,2,HealthRep,59060,23,21,4,3,1,1,4,3,3,4,4,6.493810013717422,0.2847527394155275,0.0595010814587667,243,0.0
0,2,R&D,3,Medical,73,5,ResearchDir,38860,17,9,2,9,0,0,3,3,4,3,3,6.299470449172577,0.2845542656240089,0.0496225720913333,235,0.0
0,0,R&D,3,LifeSci,74,1,ResearchDir,168230,17,6,3,5,1,4,3,2,3,3,3,9.316973304473304,0.2913385625814039,0.0770401621304959,231,1.0
0,2,R&D,4,LifeSci,75,2,Scientist,29330,12,20,2,4,0,3,4,3,2,3,3,6.097862787356322,0.2879511325468833,0.0870058896375843,232,0.0
0,1,R&D,2,LifeSci,76,2,Manager,65000,23,10,3,1,0,0,3,1,2,3,4,7.217327264239029,0.285977028084907,0.0476180171860645,238,0.0
0,1,Sales,1,Marketing,77,1,SalesExec,171740,14,12,6,10,9,8,4,4,3,3,3,7.100070018365472,0.3020577499190225,0.0663986599499464,242,0.0
0,1,R&D,4,Other,78,4,Scientist,50330,14,6,6,4,0,2,2,4,2,3,3,9.914107744107746,0.2982920757272086,0.0767256863071002,231,1.0
1,1,R&D,3,Medical,79,1,Scientist,23070,13,7,0,7,0,7,2,1,2,3,3,10.477788647342996,0.3013667810340338,0.0622065595754147,230,1.0
0,1,HR,3,Medical,80,3,SalesRep,25870,22,4,3,3,2,2,2,4,3,3,4,6.906938633193863,0.2945512458116299,0.0614846104234075,239,0.0
0,1,R&D,3,LifeSci,81,2,Scientist,55070,12,10,2,10,1,2,4,3,3,2,3,7.58909243295019,0.3033947116335247,0.0799193677475142,232,0.0862068965517241
0,1,R&D,2,Medical,82,1,Manager,43930,18,8,2,8,0,7,2,2,3,2,3,6.079724499089253,0.2943418133372729,0.044767327821036,244,0.0
0,1,Sales,4,LifeSci,83,2,HealthRep,133480,14,8,4,6,0,4,4,4,2,3,3,6.001112288135593,0.2869876466163705,0.0434338479291771,236,0.0
0,1,R&D,4,Medical,84,1,LabTech,65830,12,12,1,11,2,9,3,4,3,3,3,8.983123278236915,0.3033705166083597,0.0803302515343518,242,1.0
0,1,R&D,3,Medical,85,3,Manager,81030,15,11,5,11,4,10,3,4,3,3,3,10.426184640522877,0.3131386822963048,0.0638855174635687,238,1.0
0,1,R&D,4,LifeSci,86,3,SalesExec,39780,11,7,0,7,1,7,4,2,3,3,3,8.387526183970857,0.2728097417986213,0.065591155149189,244,0.9221311475409836
0,1,Sales,2,Tech,87,3,Manager,25440,13,17,3,16,0,13,3,2,3,4,3,7.912038626609442,0.29151719521946,0.049330099983474,233,0.407725321888412
0,1,R&D,4,LifeSci,88,1,MfgDir,53990,23,4,2,4,0,2,3,4,2,2,4,7.105291842475386,0.291581088575411,0.0462881069670189,237,0.0042194092827004
0,1,R&D,2,LifeSci,89,1,LabTech,54870,19,8,0,5,1,2,4,2,3,3,3,9.688633193863318,0.2863867818652617,0.0772578336516148,239,1.0
0,2,Sales,3,Medical,90,2,LabTech,68340,16,5,2,0,0,0,2,3,3,4,3,7.770347512784752,0.3013260125248705,0.0715902275322035,239,0.2175732217573222
0,1,R&D,4,LifeSci,91,1,Manager,10910,22,16,0,1,0,0,1,4,3,1,4,6.284280356305673,0.2970647525484169,0.0334915794954481,237,0.0
0,0,Sales,4,Marketing,92,2,HR,57360,22,4,1,4,0,2,4,3,2,2,4,6.306108726752504,0.3147514859255347,0.0821341537131362,233,0.0
0,1,Sales,4,Medical,93,3,Scientist,22260,12,4,3,3,1,0,3,3,3,2,3,8.831585038986356,0.3114763351845715,0.0722165605605582,228,0.9956140350877192
0,1,R&D,3,Medical,94,2,Scientist,57470,13,8,0,8,0,7,3,2,3,3,3,7.722377344877344,0.3036703829425292,0.0724614912832548,231,0.1948051948051948
0,1,Sales,4,Medical,95,4,SalesExec,98540,16,15,2,0,0,0,1,3,1,2,3,7.317479732951836,0.2713736160733708,0.0489413341557399,233,0.0042918454935622
0,1,R&D,5,Tech,96,2,MfgDir,54670,12,13,2,7,6,7,3,1,3,3,3,10.798262483130904,0.2956162887590206,0.0680964188568719,247,1.0
0,0,Sales,4,Other,97,1,HealthRep,53800,21,4,0,2,2,2,4,3,4,3,4,10.40136394557823,0.3043982502591479,0.0651911335282265,245,1.0
0,1,Sales,3,Medical,98,5,LabTech,51510,15,8,3,8,7,7,3,3,3,3,3,5.994326703246457,0.3034083959339803,0.0724128074756391,243,0.0
0,1,Sales,2,Medical,99,1,LabTech,21330,13,14,2,1,0,0,1,4,3,3,3,6.113110181311018,0.3217773044744211,0.0786689159102849,239,0.0
1,2,R&D,3,Medical,100,4,MfgDir,178750,12,3,5,3,1,2,1,2,3,2,3,8.133578096539162,0.2979867210928537,0.0686238544938807,244,0.6967213114754098
0,0,HR,3,HR,101,2,LabTech,24320,22,7,4,1,0,0,4,4,3,1,4,7.306164990421457,0.3227369368620734,0.0475508695482143,232,0.0086206896551724
0,2,R&D,3,LifeSci,102,2,Scientist,47710,13,16,2,13,1,12,1,4,3,3,3,7.105030345471522,0.3052452368512967,0.0532512804422527,238,0.0
0,1,R&D,4,LifeSci,103,5,Scientist,191610,18,15,2,3,1,2,4,3,3,1,3,6.327729314420803,0.2956968539244837,0.0779806770450826,235,0.0
0,1,R&D,3,Other,104,2,SalesExec,50870,14,10,3,7,1,7,4,3,3,3,3,8.1285121602289,0.2861738073402626,0.0630324052794675,233,0.6652360515021459
0,0,R&D,5,LifeSci,105,2,Manager,28630,14,3,2,3,2,2,1,4,2,1,3,7.98643255701116,0.2672601004984339,0.0597731616541407,229,0.4672489082969432
1,1,HR,2,HR,106,5,Manager,55610,21,1,3,1,0,0,4,3,3,1,4,10.50909692159692,0.3066504556629194,0.0727874470893751,231,1.0
0,1,R&D,3,LifeSci,107,4,Scientist,21440,19,17,3,5,0,3,3,1,3,4,3,7.9932840307840305,0.2918022262172735,0.0880306891835292,231,0.4675324675324675
0,0,Sales,4,Marketing,108,2,LabTech,30650,11,7,3,1,0,0,3,3,4,3,3,6.103653752436647,0.2760742462786244,0.0766676031077173,228,0.0
1,2,R&D,1,Medical,109,1,Scientist,28100,11,8,3,8,7,7,1,2,3,4,3,7.587908917501192,0.2809213644925799,0.0692670548103579,233,0.0643776824034334
0,1,R&D,3,Medical,110,3,LabTech,98880,15,20,2,4,1,3,4,4,3,3,3,6.890321256038647,0.3040937156292478,0.0668363014107236,230,0.0
1,1,R&D,3,Medical,111,1,HealthRep,86280,20,8,2,6,1,0,3,3,3,2,4,9.295999525166192,0.3191977828139923,0.0722778846155605,234,1.0
0,1,R&D,3,LifeSci,112,4,HR,28670,24,3,5,2,2,2,3,2,3,3,4,10.806078364950316,0.2826356108226116,0.0595180405360082,246,1.0
1,1,HR,2,HR,113,1,LabTech,53730,12,1,2,1,0,0,3,2,3,3,3,5.995219806763284,0.3117684071979395,0.0537399580579005,230,0.0
0,1,R&D,3,LifeSci,114,2,ResearchDir,66670,12,6,6,3,1,2,4,4,3,4,3,7.788609977324264,0.2951812462886465,0.0710589907534895,245,0.2326530612244897
0,1,R&D,3,LifeSci,115,3,SalesExec,50030,15,10,2,1,0,0,3,2,3,3,3,7.71770715630885,0.2748778776679911,0.0649456067257254,236,0.1567796610169491
0,1,Sales,3,LifeSci,116,1,SalesExec,23670,12,5,2,5,0,4,4,2,3,3,3,6.189450379867046,0.2831699616965777,0.0565170401344355,234,0.0
0,1,R&D,2,Medical,117,3,Manager,28580,12,7,2,7,0,7,2,4,3,2,3,7.120614224137931,0.3245814917059362,0.0397749566002608,232,0.0129310344827586
0,1,Sales,3,Tech,118,2,MfgDir,52040,14,26,3,5,0,0,2,3,3,3,3,7.825193287037036,0.2762058666416945,0.0687430925409274,240,0.2958333333333333
0,1,R&D,2,LifeSci,119,1,SalesExec,41050,22,18,2,7,0,7,3,4,2,3,4,7.619401803118908,0.3080290881785045,0.0962298953962971,228,0.1184210526315789
0,1,Sales,2,LifeSci,120,1,SalesExec,96790,12,6,1,2,2,2,4,3,3,3,3,6.002463200379866,0.2793863492279387,0.0803738453120063,234,0.0
1,0,R&D,3,LifeSci,121,1,SalesRep,56170,25,9,3,5,0,4,1,4,2,3,4,9.11312647754137,0.2968061611407182,0.0585358993411899,235,1.0
0,1,Sales,3,Marketing,122,1,LabTech,104480,13,30,3,5,1,2,3,4,3,3,3,8.684139595103577,0.3230686032698425,0.0627772411934209,236,0.9788135593220338
0,1,R&D,3,LifeSci,123,5,Manager,28970,18,5,4,5,0,3,4,3,4,3,3,9.993131642512076,0.2929671106647452,0.0665018596321956,230,1.0
0,1,R&D,3,LifeSci,124,2,Manager,59680,13,1,3,1,0,0,3,2,3,3,3,6.900539923039923,0.284796858526935,0.0698095576689822,231,0.0
1,2,Sales,3,LifeSci,125,2,Manager,75100,18,7,3,6,0,4,3,3,3,3,3,6.99935763888889,0.3041732805740806,0.0573035989812755,240,0.0
0,1,R&D,5,Other,126,1,Scientist,29910,19,2,3,2,1,2,1,2,3,2,3,6.28623015873016,0.3140541987912137,0.0823099194844216,231,0.0
0,1,R&D,3,Medical,127,5,HealthRep,196360,12,10,3,10,9,0,2,3,3,3,3,6.366151129943503,0.3056084765592565,0.0761241597791223,236,0.0
1,2,Sales,2,Marketing,128,3,Scientist,11290,19,3,2,1,0,0,3,4,3,2,3,8.19166087962963,0.2971157350049789,0.0723854442923558,240,0.7291666666666666
0,1,R&D,1,Tech,129,1,SalesExec,133410,14,18,3,18,12,17,4,1,2,3,3,6.4520891203703705,0.3151431220047751,0.0588094328783988,240,0.0
0,1,R&D,2,Medical,130,3,Scientist,43320,14,8,3,5,1,3,4,2,3,2,3,6.682986714975844,0.3017011062198977,0.0985618065160486,230,0.0
0,1,R&D,3,Medical,131,4,Manager,110310,12,8,2,5,1,2,2,1,3,2,3,7.4826477541371155,0.2914009080192508,0.0528813312520813,235,0.0382978723404255
0,1,Sales,1,Marketing,132,3,SalesExec,44400,11,18,3,1,0,1,3,2,2,2,3,9.920131519274378,0.312886986189956,0.0554731881922562,245,1.0
0,1,Sales,2,LifeSci,133,1,SalesExec,46170,11,25,2,25,3,9,1,2,3,3,3,7.415638297872341,0.2937137030826791,0.0713544925773756,235,0.0085106382978723
0,1,Sales,2,LifeSci,134,1,LabTech,26470,13,20,2,1,0,0,2,3,3,2,3,7.495338468720821,0.2952978176592569,0.066209516273092,238,0.042016806722689
0,1,HR,3,LifeSci,135,2,MfgDir,63230,23,24,2,4,1,2,1,1,2,2,4,5.998969652471855,0.2875468261702452,0.067249411303115,227,0.0
0,0,R&D,3,Medical,136,1,LabTech,56770,20,6,3,3,1,2,3,3,3,3,4,6.85954534662868,0.2736884968860533,0.0666857604093332,234,0.0
0,1,R&D,4,LifeSci,137,3,SalesExec,21870,15,13,2,13,3,12,2,1,1,2,3,6.131909722222222,0.3007888388169096,0.0796887052109751,232,0.0
0,2,Sales,3,LifeSci,138,1,MfgDir,37480,14,10,3,3,1,2,4,4,3,2,3,7.67480543318649,0.282321790990431,0.0677059182073545,227,0.0969162995594713
0,1,Sales,4,LifeSci,139,2,SalesRep,39770,18,8,3,5,0,2,3,3,3,3,3,8.878969421101775,0.3048386685733428,0.0718947364981192,238,1.0
0,1,HR,2,HR,140,1,MfgDir,86330,19,5,2,5,1,3,2,4,3,4,3,10.895845306513408,0.3035594941005068,0.0662968383682625,232,1.0
0,0,R&D,3,Medical,141,3,LabTech,20080,22,15,5,13,10,7,2,3,3,2,4,10.692001669051026,0.3167396453513251,0.0418836263677239,233,1.0
0,1,R&D,1,Medical,142,3,LabTech,44400,13,4,2,4,3,2,4,1,3,3,3,7.060316091954023,0.3016817394025221,0.0603891543913736,232,0.0
0,2,R&D,4,Tech,143,1,SalesExec,30670,20,21,5,21,1,6,2,3,3,1,4,9.009179138321995,0.2940221428307152,0.0599124768191659,245,1.0
0,2,R&D,4,LifeSci,144,3,SalesExec,53210,14,36,1,7,7,7,3,1,2,3,3,7.420447466294746,0.2949671078665678,0.0591320192647719,239,0.0334728033472803
0,1,Sales,4,Medical,145,2,MfgDir,54100,17,6,2,5,4,4,2,3,3,3,3,7.585973922902495,0.3044018692687746,0.0840364516846446,245,0.073469387755102
0,1,R&D,3,Tech,146,3,Scientist,27820,14,10,2,10,0,7,2,1,3,2,3,6.624136698939603,0.3178489145537028,0.0497971000893588,241,0.0
0,1,R&D,3,Medical,147,3,HealthRep,119570,13,10,2,10,1,8,3,1,3,2,3,6.192764830508475,0.3179692820147781,0.077012023831117,236,0.0
1,1,R&D,2,LifeSci,148,3,LabTech,26600,13,6,3,2,0,2,1,1,3,3,3,6.472303436911488,0.3119169027133294,0.0574729573034976,236,0.0
0,1,R&D,2,LifeSci,149,2,SalesRep,33750,21,28,2,5,0,4,4,3,3,2,4,8.195051440329218,0.3105541185251595,0.0890523778494365,243,0.6831275720164609
0,1,R&D,3,Medical,150,1,SalesExec,50980,14,8,4,2,0,2,1,4,2,3,3,6.787695733708392,0.2717460652981987,0.07372251838272,237,0.0
0,1,R&D,3,Medical,151,2,Scientist,48780,11,31,3,5,1,4,4,4,1,3,3,7.302139479905438,0.3030833790329484,0.0419723582023375,235,0.0170212765957446
0,2,Sales,3,Marketing,152,2,HealthRep,28370,13,19,0,5,0,2,1,3,3,2,3,6.822407010014305,0.3088207903208703,0.0942512051523026,233,0.0
0,1,Sales,3,Marketing,153,1,SalesExec,24060,20,11,5,5,0,2,3,4,3,3,4,7.322458937198068,0.2980406645064434,0.0763155887193739,230,0.0130434782608695
0,1,R&D,3,LifeSci,154,1,MfgDir,22690,18,33,4,29,11,10,1,1,1,3,3,6.164361829501916,0.3143821591654218,0.0640352845585759,232,0.0
0,1,Sales,4,Marketing,155,1,SalesExec,41080,14,19,5,10,0,8,3,3,2,2,3,7.610284810126583,0.2938036667730015,0.0840321109471597,237,0.0928270042194092
0,2,R&D,4,Tech,156,4,SalesExec,132060,13,7,2,6,0,4,4,4,4,3,3,6.5951353874883285,0.3182953779986331,0.082888586411093,238,0.0
1,1,R&D,2,Medical,157,1,Scientist,104220,17,6,0,5,1,4,1,2,3,2,3,10.648925376647837,0.2978148655761136,0.0744437616433946,236,1.0
1,2,R&D,3,Medical,158,2,Scientist,137440,20,3,3,2,1,0,4,3,2,3,4,6.20442731277533,0.2823785384971703,0.0706549720844351,227,0.0
0,2,Sales,3,Marketing,159,2,SalesExec,49070,11,1,3,1,0,0,4,4,3,3,3,8.591902250351618,0.3000731063992163,0.0665749539311248,237,0.9620253164556962
0,1,Sales,4,Marketing,160,1,SalesExec,34820,18,21,2,20,1,12,3,3,3,2,3,6.001353864734299,0.2948516035328984,0.0650810903989406,230,0.0
0,1,R&D,2,Medical,161,4,HealthRep,24360,24,3,2,3,0,2,1,4,1,4,4,6.281751101321586,0.3060211981320456,0.091830958722096,227,0.0
0,0,R&D,3,Medical,162,2,SalesExec,23800,18,9,2,5,1,4,3,4,1,2,3,7.9055698005698,0.2842074124950148,0.0975971691386995,234,0.3547008547008547
0,1,R&D,3,Medical,163,3,MfgDir,194310,11,10,3,10,0,7,2,3,3,3,3,7.175699035812673,0.2915206754617904,0.067286216315085,242,0.0
1,1,R&D,4,LifeSci,164,3,Scientist,17900,16,6,4,2,1,1,3,2,4,2,3,6.651255274261604,0.3065156841937334,0.0741984316589647,237,0.0
1,1,R&D,3,Medical,165,1,SalesExec,76440,15,1,2,1,0,0,1,4,4,3,3,7.906068376068376,0.3098415173969698,0.056992809935869,234,0.3846153846153846
