Attrition,BusinessTravel,Department,Education,EducationField,EmployeeID,JobLevel,JobRole,MonthlyIncome,PercentSalaryHike,TotalWorkingYears,TrainingTimesLastYear,YearsAtCompany,YearsSinceLastPromotion,YearsWithCurrManager,EnvironmentSatisfaction,JobSatisfaction,WorkLifeBalance,JobInvolvement,PerformanceRating,age_group
No,Travel_Rarely,Sales,4,Marketing,47,2,Human Resources,21050,20,19,3,18,3,7,3,4,2,3,4,35-45
No,Non-Travel,Research & Development,4,Life Sciences,48,1,Sales Executive,85780,21,11,4,9,0,8,2,2,3,3,4,35-45
No,Travel_Rarely,Sales,3,Marketing,49,2,Laboratory Technician,27060,21,13,4,13,4,8,4,3,2,3,4,25-35
No,Travel_Rarely,Research & Development,2,Life Sciences,50,3,Research Scientist,63840,19,19,4,10,0,1,1,2,3,2,3,35-45
No,Non-Travel,Research & Development,3,Life Sciences,51,2,Manufacturing Director,39680,13,12,3,5,1,2,4,3,3,2,3,> 65
No,Travel_Rarely,Research & Development,1,Technical Degree,52,3,Research Scientist,99070,13,6,3,5,0,3,3,4,3,2,3,25-35
No,Travel_Rarely,Sales,4,Marketing,53,2,Sales Executive,132250,21,9,2,2,1,0,1,1,3,3,4,25-35
No,Travel_Frequently,Research & Development,1,Medical,54,1,Sales Executive,35400,13,24,6,24,9,11,1,1,3,3,3,35-45
No,Travel_Rarely,Sales,4,Marketing,55,2,Research Scientist,28040,19,3,0,2,2,2,3,4,1,3,3,25-35
No,Travel_Frequently,Research & Development,3,Life Sciences,56,4,Research Director,193920,12,12,3,10,8,8,4,2,3,3,3,25-35
No,Travel_Rarely,Sales,4,Life Sciences,57,1,Sales Executive,196650,22,21,6,21,11,10,3,1,3,3,4,35-45
No,Travel_Frequently,Research & Development,4,Medical,58,4,Research Scientist,24390,15,9,2,8,1,7,3,4,3,3,3,35-45
No,Travel_Rarely,Research & Development,3,Life Sciences,59,3,Manufacturing Director,73140,22,25,2,7,0,7,3,3,3,3,4,45-55
Yes,Travel_Rarely,Research & Development,1,Life Sciences,60,2,Research Scientist,47740,18,11,2,8,7,7,3,2,2,3,3,45-55
No,Travel_Rarely,Research & Development,4,Medical,61,3,Research Scientist,39020,22,4,2,4,1,2,3,2,2,3,4,25-35
No,Travel_Rarely,Research & Development,3,Life Sciences,62,3,Research Scientist,26620,11,13,6,13,11,9,3,2,3,4,3,25-35
No,Travel_Rarely,Research & Development,2,Medical,63,4,Research Director,28560,12,5,5,5,0,4,4,3,3,4,3,25-35
No,Travel_Rarely,Sales,3,Life Sciences,64,2,Healthcare Representative,10810,11,13,4,7,1,7,4,4,3,4,3,25-35
No,Travel_Rarely,Research & Development,3,Technical Degree,65,2,Healthcare Representative,24720,13,10,2,7,0,7,1,4,2,3,3,25-35
Yes,Travel_Rarely,Research & Development,4,Medical,66,1,Sales Executive,56730,14,5,4,3,2,2,1,4,2,2,3,25-35
No,Travel_Rarely,Research & Development,3,Life Sciences,67,4,Research Director,41970,13,11,3,10,1,9,4,4,3,3,3,25-35
No,Travel_Frequently,Research & Development,1,Life Sciences,68,1,Manager,97130,17,10,5,10,8,9,3,3,3,2,3,25-35
No,Travel_Frequently,Research & Development,4,Medical,69,1,Research Scientist,20620,13,21,4,21,13,3,3,4,3,3,3,35-45
Yes,Travel_Rarely,Research & Development,1,Medical,70,1,Laboratory Technician,42840,17,12,0,1,0,0,4,3,2,3,3,35-45
No,Travel_Frequently,Sales,2,Life Sciences,71,4,Research Scientist,47880,11,9,0,7,0,1,2,4,2,3,3,25-35
No,Travel_Rarely,Research & Development,3,Life Sciences,72,2,Healthcare Representative,59060,23,21,4,3,1,1,4,3,3,4,4,45-55
No,Travel_Frequently,Research & Development,3,Medical,73,5,Research Director,38860,17,9,2,9,0,0,3,3,4,3,3,35-45
No,Non-Travel,Research & Development,3,Life Sciences,74,1,Research Director,168230,17,6,3,5,1,4,3,2,3,3,3,25-35
No,Travel_Frequently,Research & Development,4,Life Sciences,75,2,Research Scientist,29330,12,20,2,4,0,3,4,3,2,3,3,45-55
No,Travel_Rarely,Research & Development,2,Life Sciences,76,2,Manager,65000,23,10,3,1,0,0,3,1,2,3,4,35-45
No,Travel_Rarely,Sales,1,Marketing,77,1,Sales Executive,171740,14,12,6,10,9,8,4,4,3,3,3,35-45
No,Travel_Rarely,Research & Development,4,Other,78,4,Research Scientist,50330,14,6,6,4,0,2,2,4,2,3,3,35-45
Yes,Travel_Rarely,Research & Development,3,Medical,79,1,Research Scientist,23070,13,7,0,7,0,7,2,1,2,3,3,25-35
No,Travel_Rarely,Human Resources,3,Medical,80,3,Sales Representative,25870,22,4,3,3,2,2,2,4,3,3,4,25-35
No,Travel_Rarely,Research & Development,3,Life Sciences,81,2,Research Scientist,55070,12,10,2,10,1,2,4,3,3,2,3,25-35
No,Travel_Rarely,Research & Development,2,Medical,82,1,Manager,43930,18,8,2,8,0,7,2,2,3,2,3,25-35
No,Travel_Rarely,Sales,4,Life Sciences,83,2,Healthcare Representative,133480,14,8,4,6,0,4,4,4,2,3,3,35-45
No,Travel_Rarely,Research & Development,4,Medical,84,1,Laboratory Technician,65830,12,12,1,11,2,9,3,4,3,3,3,35-45
No,Travel_Rarely,Research & Development,3,Medical,85,3,Manager,81030,15,11,5,11,4,10,3,4,3,3,3,25-35
No,Travel_Rarely,Research & Development,4,Life Sciences,86,3,Sales Executive,39780,11,7,0,7,1,7,4,2,3,3,3,25-35
No,Travel_Rarely,Sales,2,Technical Degree,87,3,Manager,25440,13,17,3,16,0,13,3,2,3,4,3,25-35
No,Travel_Rarely,Research & Development,4,Life Sciences,88,1,Manufacturing Director,53990,23,4,2,4,0,2,3,4,2,2,4,< 25
No,Travel_Rarely,Research & Development,2,Life Sciences,89,1,Laboratory Technician,54870,19,8,0,5,1,2,4,2,3,3,3,35-45
No,Travel_Frequently,Sales,3,Medical,90,2,Laboratory Technician,68340,16,5,2,0,0,0,2,3,3,4,3,45-55
No,Travel_Rarely,Research & Development,4,Life Sciences,91,1,Manager,10910,22,16,0,1,0,0,1,4,3,1,4,35-45
No,Non-Travel,Sales,4,Marketing,92,2,Human Resources,57360,22,4,1,4,0,2,4,3,2,2,4,25-35
No,Travel_Rarely,Sales,4,Medical,93,3,Research Scientist,22260,12,4,3,3,1,0,3,3,3,2,3,35-45
No,Travel_Rarely,Research & Development,3,Medical,94,2,Research Scientist,57470,13,8,0,8,0,7,3,2,3,3,3,25-35
No,Travel_Rarely,Sales,4,Medical,95,4,Sales Executive,98540,16,15,2,0,0,0,1,3,1,2,3,45-55
No,Travel_Rarely,Research & Development,5,Technical Degree,96,2,Manufacturing Director,54670,12,13,2,7,6,7,3,1,3,3,3,35-45
No,Non-Travel,Sales,4,Other,97,1,Healthcare Representative,53800,21,4,0,2,2,2,4,3,4,3,4,25-35
No,Travel_Rarely,Sales,3,Medical,98,5,Laboratory Technician,51510,15,8,3,8,7,7,3,3,3,3,3,25-35
No,Travel_Rarely,Sales,2,Medical,99,1,Laboratory Technician,21330,13,14,2,1,0,0,1,4,3,3,3,35-45
Yes,Travel_Frequently,Research & Development,3,Medical,100,4,Manufacturing Director,178750,12,3,5,3,1,2,1,2,3,2,3,< 25
No,Non-Travel,Human Resources,3,Human Resources,101,2,Laboratory Technician,24320,22,7,4,1,0,0,4,4,3,1,4,35-45
No,Travel_Frequently,Research & Development,3,Life Sciences,102,2,Research Scientist,47710,13,16,2,13,1,12,1,4,3,3,3,35-45
No,Travel_Rarely,Research & Development,4,Life Sciences,103,5,Research Scientist,191610,18,15,2,3,1,2,4,3,3,1,3,> 65
No,Travel_Rarely,Research & Development,3,Other,104,2,Sales Executive,50870,14,10,3,7,1,7,4,3,3,3,3,35-45
No,Non-Travel,Research & Development,5,Life Sciences,105,2,Manager,28630,14,3,2,3,2,2,1,4,2,1,3,< 25
Yes,Travel_Rarely,Human Resources,2,Human Resources,106,5,Manager,55610,21,1,3,1,0,0,4,3,3,1,4,25-35
No,Travel_Rarely,Research & Development,3,Life Sciences,107,4,Research Scientist,21440,19,17,3,5,0,3,3,1,3,4,3,35-45
No,Non-Travel,Sales,4,Marketing,108,2,Laboratory Technician,30650,11,7,3,1,0,0,3,3,4,3,3,45-55
Yes,Travel_Frequently,Research & Development,1,Medical,109,1,Research Scientist,28100,11,8,3,8,7,7,1,2,3,4,3,35-45
No,Travel_Rarely,Research & Development,3,Medical,110,3,Laboratory Technician,98880,15,20,2,4,1,3,4,4,3,3,3,45-55
Yes,Travel_Rarely,Research & Development,3,Medical,111,1,Healthcare Representative,86280,20,8,2,6,1,0,3,3,3,2,4,35-45
No,Travel_Rarely,Research & Development,3,Life Sciences,112,4,Human Resources,28670,24,3,5,2,2,2,3,2,3,3,4,25-35
Yes,Travel_Rarely,Human Resources,2,Human Resources,113,1,Laboratory Technician,53730,12,1,2,1,0,0,3,2,3,3,3,< 25
No,Travel_Rarely,Research & Development,3,Life Sciences,114,2,Research Director,66670,12,6,6,3,1,2,4,4,3,4,3,25-35
No,Travel_Rarely,Research & Development,3,Life Sciences,115,3,Sales Executive,50030,15,10,2,1,0,0,3,2,3,3,3,25-35
No,Travel_Rarely,Sales,3,Life Sciences,116,1,Sales Executive,23670,12,5,2,5,0,4,4,2,3,3,3,25-35
No,Travel_Rarely,Research & Development,2,Medical,117,3,Manager,28580,12,7,2,7,0,7,2,4,3,2,3,25-35
No,Travel_Rarely,Sales,3,Technical Degree,118,2,Manufacturing Director,52040,14,26,3,5,0,0,2,3,3,3,3,45-55
No,Travel_Rarely,Research & Development,2,Life Sciences,119,1,Sales Executive,41050,22,18,2,7,0,7,3,4,2,3,4,45-55
No,Travel_Rarely,Sales,2,Life Sciences,120,1,Sales Executive,96790,12,6,1,2,2,2,4,3,3,3,3,35-45
Yes,Non-Travel,Research & Development,3,Life Sciences,121,1,Sales Representative,56170,25,9,3,5,0,4,1,4,2,3,4,25-35
No,Travel_Rarely,Sales,3,Marketing,122,1,Laboratory Technician,104480,13,30,3,5,1,2,3,4,3,3,3,45-55
No,Travel_Rarely,Research & Development,3,Life Sciences,123,5,Manager,28970,18,5,4,5,0,3,4,3,4,3,3,< 25
No,Travel_Rarely,Research & Development,3,Life Sciences,124,2,Manager,59680,13,1,3,1,0,0,3,2,3,3,3,25-35
Yes,Travel_Frequently,Sales,3,Life Sciences,125,2,Manager,75100,18,7,3,6,0,4,3,3,3,3,3,25-35
No,Travel_Rarely,Research & Development,5,Other,126,1,Research Scientist,29910,19,2,3,2,1,2,1,2,3,2,3,< 25
No,Travel_Rarely,Research & Development,3,Medical,127,5,Healthcare Representative,196360,12,10,3,10,9,0,2,3,3,3,3,35-45
Yes,Travel_Frequently,Sales,2,Marketing,128,3,Research Scientist,11290,19,3,2,1,0,0,3,4,3,2,3,25-35
No,Travel_Rarely,Research & Development,1,Technical Degree,129,1,Sales Executive,133410,14,18,3,18,12,17,4,1,2,3,3,35-45
No,Travel_Rarely,Research & Development,2,Medical,130,3,Research Scientist,43320,14,8,3,5,1,3,4,2,3,2,3,35-45
No,Travel_Rarely,Research & Development,3,Medical,131,4,Manager,110310,12,8,2,5,1,2,2,1,3,2,3,35-45
No,Travel_Rarely,Sales,1,Marketing,132,3,Sales Executive,44400,11,18,3,1,0,1,3,2,2,2,3,35-45
No,Travel_Rarely,Sales,2,Life Sciences,133,1,Sales Executive,46170,11,25,2,25,3,9,1,2,3,3,3,35-45
No,Travel_Rarely,Sales,2,Life Sciences,134,1,Laboratory Technician,26470,13,20,2,1,0,0,2,3,3,2,3,35-45
No,Travel_Rarely,Human Resources,3,Life Sciences,135,2,Manufacturing Director,63230,23,24,2,4,1,2,1,1,2,2,4,45-55
No,Non-Travel,Research & Development,3,Medical,136,1,Laboratory Technician,56770,20,6,3,3,1,2,3,3,3,3,4,25-35
No,Travel_Rarely,Research & Development,4,Life Sciences,137,3,Sales Executive,21870,15,13,2,13,3,12,2,1,1,2,3,25-35
No,Travel_Frequently,Sales,3,Life Sciences,138,1,Manufacturing Director,37480,14,10,3,3,1,2,4,4,3,2,3,35-45
No,Travel_Rarely,Sales,4,Life Sciences,139,2,Sales Representative,39770,18,8,3,5,0,2,3,3,3,3,3,35-45
No,Travel_Rarely,Human Resources,2,Human Resources,140,1,Manufacturing Director,86330,19,5,2,5,1,3,2,4,3,4,3,< 25
No,Non-Travel,Research & Development,3,Medical,141,3,Laboratory Technician,20080,22,15,5,13,10,7,2,3,3,2,4,35-45
No,Travel_Rarely,Research & Development,1,Medical,142,3,Laboratory Technician,44400,13,4,2,4,3,2,4,1,3,3,3,25-35
No,Travel_Frequently,Research & Development,4,Technical Degree,143,1,Sales Executive,30670,20,21,5,21,1,6,2,3,3,1,4,35-45
No,Travel_Frequently,Research & Development,4,Life Sciences,144,3,Sales Executive,53210,14,36,1,7,7,7,3,1,2,3,3,> 65
No,Travel_Rarely,Sales,4,Medical,145,2,Manufacturing Director,54100,17,6,2,5,4,4,2,3,3,3,3,25-35
No,Travel_Rarely,Research & Development,3,Technical Degree,146,3,Research Scientist,27820,14,10,2,10,0,7,2,1,3,2,3,35-45
No,Travel_Rarely,Research & Development,3,Medical,147,3,Healthcare Representative,119570,13,10,2,10,1,8,3,1,3,2,3,25-35
Yes,Travel_Rarely,Research & Development,2,Life Sciences,148,3,Laboratory Technician,26600,13,6,3,2,0,2,1,1,3,3,3,< 25
No,Travel_Rarely,Research & Development,2,Life Sciences,149,2,Sales Representative,33750,21,28,2,5,0,4,4,3,3,2,4,45-55
No,Travel_Rarely,Research & Development,3,Medical,150,1,Sales Executive,50980,14,8,4,2,0,2,1,4,2,3,3,35-45
No,Travel_Rarely,Research & Development,3,Medical,151,2,Research Scientist,48780,11,31,3,5,1,4,4,4,1,3,3,45-55
No,Travel_Frequently,Sales,3,Marketing,152,2,Healthcare Representative,28370,13,19,0,5,0,2,1,3,3,2,3,35-45
No,Travel_Rarely,Sales,3,Marketing,153,1,Sales Executive,24060,20,11,5,5,0,2,3,4,3,3,4,25-35
No,Travel_Rarely,Research & Development,3,Life Sciences,154,1,Manufacturing Director,22690,18,33,4,29,11,10,1,1,1,3,3,> 65
No,Travel_Rarely,Sales,4,Marketing,155,1,Sales Executive,41080,14,19,5,10,0,8,3,3,2,2,3,45-55
No,Travel_Frequently,Research & Development,4,Technical Degree,156,4,Sales Executive,132060,13,7,2,6,0,4,4,4,4,3,3,35-45
Yes,Travel_Rarely,Research & Development,2,Medical,157,1,Research Scientist,104220,17,6,0,5,1,4,1,2,3,2,3,< 25
Yes,Travel_Frequently,Research & Development,3,Medical,158,2,Research Scientist,137440,20,3,3,2,1,0,4,3,2,3,4,25-35
No,Travel_Frequently,Sales,3,Marketing,159,2,Sales Executive,49070,11,1,3,1,0,0,4,4,3,3,3,35-45
No,Travel_Rarely,Sales,4,Marketing,160,1,Sales Executive,34820,18,21,2,20,1,12,3,3,3,2,3,35-45
No,Travel_Rarely,Research & Development,2,Medical,161,4,Healthcare Representative,24360,24,3,2,3,0,2,1,4,1,4,4,25-35
No,Non-Travel,Research & Development,3,Medical,162,2,Sales Executive,23800,18,9,2,5,1,4,3,4,1,2,3,25-35
No,Travel_Rarely,Research & Development,3,Medical,163,3,Manufacturing Director,194310,11,10,3,10,0,7,2,3,3,3,3,25-35
Yes,Travel_Rarely,Research & Development,4,Life Sciences,164,3,Research Scientist,17900,16,6,4,2,1,1,3,2,4,2,3,25-35
Yes,Travel_Rarely,Research & Development,3,Medical,165,1,Sales Executive,76440,15,1,2,1,0,0,1,4,4,3,3,< 25
No,Non-Travel,Research & Development,4,Life Sciences,166,3,Research Scientist,51310,15,10,2,9,7,8,3,1,3,3,3,25-35
No,Travel_Rarely,Research & Development,2,Life Sciences,167,4,Research Scientist,63060,12,32,3,1,0,0,1,4,2,3,3,> 65
No,Travel_Rarely,Sales,4,Life Sciences,168,3,Manager,47870,12,28,3,27,15,7,2,3,3,3,3,45-55
No,Non-Travel,Sales,2,Life Sciences,169,3,Laboratory Technician,188800,22,12,3,11,6,7,3,4,2,3,4,25-35
No,Travel_Frequently,Research & Development,3,Life Sciences,170,4,Laboratory Technician,23390,20,22,4,18,13,11,3,1,4,3,4,> 65
No,Travel_Rarely,Research & Development,3,Technical Degree,171,5,Manufacturing Director,135700,16,20,2,5,0,4,1,4,3,2,3,45-55
No,Travel_Rarely,Sales,1,Technical Degree,172,1,Laboratory Technician,67120,21,26,3,3,0,1,1,3,1,2,4,45-55
No,Travel_Rarely,Research & Development,2,Medical,173,2,Laboratory Technician,54060,12,6,2,5,4,3,4,3,3,3,3,25-35
No,Travel_Rarely,Research & Development,4,Medical,174,2,Human Resources,89380,11,19,2,1,0,0,3,3,3,3,3,45-55
No,Travel_Rarely,Sales,2,Life Sciences,175,1,Laboratory Technician,24390,11,14,2,7,5,7,4,3,3,4,3,25-35
No,Travel_Rarely,Research & Development,3,Life Sciences,176,1,Healthcare Representative,88370,18,15,3,3,1,2,3,4,3,2,3,45-55
No,Travel_Rarely,Research & Development,3,Life Sciences,177,2,Research Director,53430,14,13,3,13,0,8,3,2,4,3,3,25-35
Yes,Travel_Rarely,Research & Development,3,Life Sciences,178,4,Research Director,67280,22,15,2,7,7,7,2,3,4,2,4,25-35
Yes,Travel_Rarely,Sales,4,Marketing,179,2,Research Director,66520,25,8,5,4,1,3,1,4,3,3,4,25-35
No,Travel_Rarely,Research & Development,3,Life Sciences,180,1,Sales Executive,48500,12,4,4,3,1,2,4,2,3,3,3,25-35
No,Travel_Rarely,Research & Development,2,Medical,181,2,Sales Representative,28090,23,10,2,8,0,0,4,3,3,1,4,25-35
Yes,Travel_Frequently,Research & Development,2,Medical,182,2,Sales Executive,56890,15,12,2,1,0,0,1,3,3,2,3,25-35
Yes,Travel_Frequently,Sales,1,Marketing,183,1,Research Director,20010,22,11,5,3,0,2,2,1,3,4,4,25-35
No,Travel_Frequently,Research & Development,4,Medical,184,1,Research Scientist,29770,15,8,3,2,2,0,2,3,3,2,3,35-45
No,Non-Travel,Research & Development,4,Medical,185,1,Research Scientist,40250,11,10,3,10,9,7,2,4,2,3,3,35-45
Yes,Travel_Frequently,Research & Development,3,Medical,186,2,Laboratory Technician,37850,13,4,2,2,1,2,3,3,3,3,3,< 25
No,Travel_Rarely,Research & Development,3,Medical,187,1,Laboratory Technician,108540,14,14,6,9,6,7,2,4,3,3,3,45-55
No,Travel_Rarely,Research & Development,3,Medical,188,1,Sales Executive,120310,11,37,5,10,7,7,1,2,3,3,3,45-55
No,Non-Travel,Research & Development,2,Life Sciences,189,2,Research Scientist,99360,17,16,2,14,1,10,4,4,3,2,3,35-45
No,Travel_Rarely,Research & Development,3,Medical,190,1,Sales Representative,29660,18,15,2,11,6,9,2,3,3,2,3,25-35
No,Travel_Rarely,Research & Development,3,Life Sciences,191,2,Laboratory Technician,25710,14,22,1,20,5,13,2,3,3,3,3,35-45
No,Travel_Frequently,Research & Development,1,Medical,192,1,Research Scientist,99910,16,8,3,8,0,7,3,3,3,3,3,35-45
No,Travel_Rarely,Research & Development,4,Life Sciences,193,3,Research Director,61420,13,10,2,6,0,5,2,4,4,2,3,25-35
No,Travel_Rarely,Research & Development,3,Medical,194,3,Sales Executive,53900,14,10,3,10,5,8,4,1,2,3,3,35-45
No,Travel_Rarely,Research & Development,1,Medical,195,4,Sales Executive,44040,23,9,2,8,3,7,4,2,4,3,4,35-45
Yes,Travel_Frequently,Research & Development,1,Life Sciences,196,2,Laboratory Technician,59930,12,8,3,7,1,0,3,3,2,3,3,25-35
No,Travel_Rarely,Research & Development,3,Medical,197,1,Research Scientist,51300,11,8,3,3,1,2,4,4,4,2,3,25-35
No,Travel_Rarely,Research & Development,3,Medical,198,1,Laboratory Technician,20900,16,10,2,6,0,5,1,3,3,3,3,25-35
No,Travel_Rarely,Research & Development,4,Life Sciences,199,1,Sales Executive,29090,14,10,2,5,0,1,3,4,2,3,3,25-35
Yes,Travel_Frequently,Research & Development,3,Technical Degree,200,1,Sales Executive,34680,18,0,4,0,0,0,2,2,3,4,3,< 25
No,Non-Travel,Research & Development,4,Technical Degree,201,2,Laboratory Technician,30680,19,20,3,1,0,1,3,1,3,2,3,35-45
No,Non-Travel,Research & Development,3,Life Sciences,202,2,Manufacturing Director,26700,15,10,2,8,0,7,1,3,3,2,3,35-45
No,Travel_Rarely,Research & Development,4,Medical,203,3,Healthcare Representative,26930,17,8,3,0,0,0,1,3,3,2,3,25-35
No,Travel_Rarely,Research & Development,4,Medical,204,2,Human Resources,95260,15,5,2,5,0,3,1,3,3,2,3,25-35
No,Travel_Rarely,Research & Development,3,Medical,205,1,Laboratory Technician,52370,19,10,3,10,5,7,4,4,3,2,3,25-35
Yes,Travel_Rarely,Sales,3,Marketing,206,2,Manufacturing Director,24260,22,1,3,1,0,0,3,4,1,1,4,25-35
No,Travel_Rarely,Research & Development,1,Life Sciences,207,1,Sales Executive,41930,16,12,5,6,1,2,2,4,4,3,3,35-45
No,Travel_Frequently,Research & Development,1,Medical,208,5,Human Resources,29110,13,28,3,2,1,2,1,3,2,3,3,45-55
No,Travel_Rarely,Research & Development,1,Life Sciences,209,1,Research Director,26610,14,22,2,18,11,8,2,1,3,3,3,35-45
No,Non-Travel,Research & Development,2,Medical,210,1,Sales Executive,20280,16,9,3,9,7,7,1,2,3,3,3,35-45
No,Travel_Rarely,Sales,1,Medical,211,1,Laboratory Technician,99800,11,18,2,10,6,9,4,1,3,3,3,45-55
Yes,Non-Travel,Research & Development,2,Life Sciences,212,2,Research Director,32980,22,6,4,4,1,2,4,3,3,2,4,25-35
